segment_idx,m2_speed_psd_peak_baseband,m2_speed_psd_peak_am_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_am_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_am_demodulated,m2_speed_rms_baseband,m2_speed_rms_am_demodulated,m2_speed_mean_baseband,m2_speed_mean_am_demodulated,m2_speed_variance_baseband,m2_speed_variance_am_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_am_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_am_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_am_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_am_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_am_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_am_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_am_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
10,3e-06,0.355205,4e-06,0.352372,1.0,0.919339,0.665599,0.650245,0.777331,0.762533,9.9e-05,0.381264,0.777331,0.762533,0.002358,0.549495,0.001782,0.533969,1.0,0.851747,0.70721,0.894728,0.5,0.713386,0.526071,0.800332,0.596918,0.781925,0.0,0.713408,0.0,0.713408,0.0,0.713408,0.0,0.713408,0.0,0.713408,0.0,0.713408,0.0,0.713408,1
11,0.013825,0.311026,0.021751,0.307833,0.333333,0.801365,0.530468,0.543664,0.58457,0.619816,0.349958,0.484556,0.58457,0.619816,0.896984,1.0,1.0,1.0,0.666667,0.766693,1.0,0.935574,0.946665,0.834381,1.0,0.931959,0.960901,0.855443,0.0,0.735669,0.0,0.735669,0.0,0.735669,0.0,0.735669,0.0,0.735669,0.0,0.735669,0.0,0.735669,1
12,0.865162,0.412447,0.948179,0.423499,0.333333,0.498781,0.899712,0.561628,0.808014,0.562833,0.988318,0.559869,0.808014,0.562833,0.042664,0.754003,0.039899,0.750385,0.0,0.614264,0.70721,0.691381,0.5,0.626575,0.526071,0.688682,0.596918,0.636494,0.0,0.593355,0.0,0.593355,0.0,0.593355,0.0,0.593355,0.0,0.593355,0.0,0.593355,0.0,0.593355,1
13,0.225556,0.445887,0.243973,0.456827,0.333333,0.81033,1.0,0.671606,1.0,0.717897,0.395031,0.495198,1.0,0.717897,2.5e-05,0.409054,2.6e-05,0.384141,1.0,0.45559,0.012095,0.521733,0.048751,0.446329,0.000159,0.478614,0.012829,0.46717,0.0,0.628456,0.0,0.628456,0.0,0.628456,0.0,0.628456,0.0,0.628456,0.0,0.628456,0.0,0.628456,1
14,3.5e-05,0.320501,4.8e-05,0.317666,1.0,0.741754,0.664,0.543423,0.775975,0.644612,0.000155,0.353742,0.775975,0.644612,0.0,0.505256,0.0,0.486043,0.0,0.305823,0.0,0.437129,0.044168,0.420107,0.0,0.43904,0.0,0.411599,0.0,0.665354,0.0,0.665354,0.0,0.665354,0.0,0.665354,0.0,0.665354,0.0,0.665354,0.0,0.665354,1
15,0.0,0.355074,0.0,0.352701,0.0,0.413151,0.664781,0.648352,0.776661,0.760262,0.0,0.372547,0.776661,0.760262,0.0,0.445925,0.0,0.420053,0.0,0.329953,0.0,0.387132,0.044168,0.376714,0.0,0.384045,0.0,0.366703,0.0,0.70677,0.0,0.70677,0.0,0.70677,0.0,0.70677,0.0,0.70677,0.0,0.70677,0.0,0.70677,1
16,0.0,0.298963,0.0,0.295882,0.0,0.348183,0.664887,0.59449,0.776751,0.701716,0.0,0.306356,0.776751,0.701716,0.0,0.337766,0.0,0.313853,0.0,0.266132,0.0,0.292649,0.044168,0.292525,0.0,0.288655,0.0,0.281012,0.0,0.598111,0.0,0.598111,0.0,0.598111,0.0,0.598111,0.0,0.598111,0.0,0.598111,0.0,0.598111,1
17,0.0,0.292084,0.0,0.284837,0.0,0.381344,0.664887,0.576935,0.776751,0.69534,0.0,0.294319,0.776751,0.69534,0.0,0.398658,0.0,0.376689,0.0,0.25036,0.0,0.297465,0.044168,0.313235,0.0,0.30822,0.0,0.293093,0.0,0.639261,0.0,0.639261,0.0,0.639261,0.0,0.639261,0.0,0.639261,0.0,0.639261,0.0,0.639261,1
18,0.0,0.352289,0.0,0.348402,0.0,0.385324,0.664887,0.690586,0.776751,0.815736,0.0,0.351659,0.776751,0.815736,0.0,0.403004,0.0,0.373661,0.0,0.298712,0.0,0.337375,0.044168,0.337394,0.0,0.336196,0.0,0.324259,0.0,0.716208,0.0,0.716208,0.0,0.716208,0.0,0.716208,0.0,0.716208,0.0,0.716208,0.0,0.716208,1
19,0.0,0.275215,0.0,0.270357,0.0,0.342538,0.664887,0.533528,0.776751,0.636962,0.0,0.28726,0.776751,0.636962,0.0,0.361715,0.0,0.341679,0.0,0.251834,0.0,0.297302,0.044168,0.301664,0.0,0.299815,0.0,0.287522,0.0,0.574368,0.0,0.574368,0.0,0.574368,0.0,0.574368,0.0,0.574368,0.0,0.574368,0.0,0.574368,1
