timestamp,i3_pos_switch_baseband,i3_pos_switch_original_bits,i3_pos_switch_fsk_recovered,m2_speed_baseband,m2_speed_original_bits,m2_speed_fsk_recovered,o8_compressor_baseband,o8_compressor_original_bits,o8_compressor_fsk_recovered,o5_valve_baseband,o5_valve_original_bits,o5_valve_fsk_recovered,o6_valve_baseband,o6_valve_original_bits,o6_valve_fsk_recovered,current_state_binary
2023-02-06 14:13:34,0.0,0,1,0.514996,1,1,0.158866,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:13:36,0.0,0,1,0.51547,1,1,0.169758,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:13:38,0.0,0,1,0.515815,1,1,0.165882,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:13:40,0.0,0,0,0.515386,1,0,0.146293,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:13:42,0.0,0,0,0.5145,1,0,0.137466,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:13:44,0.0,0,0,0.5145,1,0,0.159885,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:13:46,1.0,1,1,0.515964,1,1,0.189391,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:13:48,1.0,1,0,0.516642,1,0,0.178748,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:13:50,1.0,1,1,0.514847,1,1,0.128367,0,1,1.0,1,1,1.0,1,1,1.0
2023-02-06 14:13:52,0.0,0,1,0.512352,1,1,0.106295,0,1,1.0,1,1,0.0,0,1,1.0
2023-02-06 14:13:54,0.0,0,1,0.512765,1,1,0.16272,0,1,1.0,1,1,0.0,0,1,1.0
2023-02-06 14:13:56,0.0,0,0,0.516825,1,0,0.237788,0,0,1.0,1,0,0.0,0,0,1.0
2023-02-06 14:13:58,0.0,0,0,0.519092,1,0,0.211064,0,0,1.0,1,0,0.0,0,0,1.0
2023-02-06 14:14:00,0.0,0,0,0.514845,1,0,0.072419,0,0,1.0,1,0,0.0,0,0,1.0
2023-02-06 14:14:02,0.0,0,0,0.508558,1,0,0.0,0,0,1.0,1,0,0.0,0,0,1.0
2023-02-06 14:14:04,0.0,0,0,0.510017,1,0,0.196282,0,0,1.0,1,0,0.0,0,0,1.0
2023-02-06 14:14:06,0.0,0,1,0.519978,1,1,0.630648,1,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:14:08,0.0,0,1,0.525754,1,1,1.0,1,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:14:10,0.0,0,0,0.515722,1,0,1.0,1,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:12,0.0,0,0,0.499447,0,0,0.630648,1,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:14,0.0,0,1,0.501893,1,1,0.196282,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:14:16,0.0,0,0,0.530634,1,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:18,0.0,0,0,0.552062,1,0,0.072419,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:20,0.0,0,0,0.511302,1,0,0.211064,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:14:22,0.0,0,1,0.384435,0,1,0.237788,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:14:24,0.0,0,1,0.21065,0,1,0.16272,0,1,0.0,0,1,0.0,0,1,1.0
